Seed,Incident Link,Feeder 1,Feeder 2,Start Time [HH:MM:SS],End Time [HH:MM:SS],Duration [HH:MM:SS],Duration [mins]
907,13485,13131,13122,16:34:45,17:53:00,1:18:15,78.25
915,12816,13386,12824,17:28:22,17:58:07,0:29:45,29.75
915,12899,12900,12910,15:41:53,17:35:18,1:53:25,113.42
915,12920,13427,12918,17:24:03,17:49:00,0:24:57,24.95
915,13065,13068,13569,8:23:48,9:15:11,0:51:23,51.38
915,13164,13159,13157,9:56:07,11:43:45,1:47:38,107.63
915,13208,13535,13205,8:49:59,9:28:48,0:38:49,38.82
915,13392,12881,12835,16:07:42,17:21:36,1:13:54,73.9
915,13425,12913,12844,14:47:30,16:40:00,1:52:30,112.5
915,13440,13442,14514,8:49:05,9:27:52,0:38:47,38.78
915,13464,13468,13466,16:12:14,18:15:35,2:03:21,123.35
915,13504,13507,13169,18:28:15,18:59:34,0:31:19,31.32
915,16613,16665,16214,9:48:18,10:24:31,0:36:13,36.22
915,18234,17269,25185,14:57:42,15:56:07,0:58:25,58.42
915,19698,17138,22259,7:59:18,9:07:51,1:08:33,68.55
915,20770,17989,20795,17:30:42,18:09:30,0:38:48,38.8
915,20819,16871,16632,7:43:41,9:23:17,1:39:36,99.6
915,25182,17260,18236,8:32:33,9:09:23,0:36:50,36.83
915,25238,18310,17115,9:08:23,9:58:42,0:50:19,50.32
946,11474,13502,13500,15:54:03,16:22:30,0:28:27,28.45
946,12907,12904,13618,8:40:14,10:10:03,1:29:49,89.82
946,12931,13640,12934,16:31:08,16:47:45,0:16:37,16.62
946,12941,12936,12932,18:33:50,20:23:12,1:49:22,109.37
946,12982,13449,12980,18:04:36,18:50:37,0:46:01,46.02
946,13073,13076,13567,14:02:42,15:00:03,0:57:21,57.35
946,13208,13535,13205,6:39:40,7:45:57,1:06:17,66.28
946,13390,12832,13388,17:52:16,20:02:00,2:09:44,129.73
946,13394,13396,12841,16:35:25,17:36:13,1:00:48,60.8
946,13413,13401,13400,16:27:17,17:22:20,0:55:03,55.05
946,13460,12978,12961,8:09:48,8:39:29,0:29:41,29.68
946,13467,13463,12982,7:24:41,8:59:15,1:34:34,94.57
946,14513,13441,13438,18:24:28,19:28:38,1:04:10,64.17
946,16583,16582,16580,17:21:48,18:15:24,0:53:36,53.6
946,16613,16665,16214,9:48:18,10:24:31,0:36:13,36.22
946,18234,17269,25185,14:18:57,15:26:00,1:07:03,67.05
946,18356,25231,17789,16:59:48,18:08:44,1:08:56,68.93
946,19698,17138,22259,17:54:34,19:00:40,1:06:06,66.1
